01.04.21-14:08:12,openstack2,10.159.205.12,0,MEMORY,NVM,0,MEMORYC,DISKC
01.04.21-14:15:54,openstack2,10.159.205.12,7,94,0,0,7,0
01.04.21-14:16:07,openstack2,10.159.205.12,14,95,0,0,7,0
01.04.21-14:16:20,openstack2,10.159.205.12,6,95,0,0,7,0
01.04.21-14:16:33,openstack2,10.159.205.12,8,94,0,0,7,0
01.04.21-14:17:59,openstack2,10.159.205.12,0,MEMORY,NVM,0,MEMORYC,DISKC
01.04.21-14:18:02,openstack2,10.159.205.12,50,94,0,0,7,0
01.04.21-14:18:15,openstack2,10.159.205.12,40,94,0,0,7,0
01.04.21-14:18:28,openstack2,10.159.205.12,8,94,0,0,7,0
01.04.21-14:18:41,openstack2,10.159.205.12,13,94,0,0,7,0
01.04.21-14:18:58,openstack2,10.159.205.12,99,94,1,25,13,6
01.04.21-14:19:10,openstack2,10.159.205.12,8,95,1,25,13,6
01.04.21-14:19:23,openstack2,10.159.205.12,7,94,1,25,13,6
01.04.21-14:19:35,openstack2,10.159.205.12,12,94,1,25,13,6
01.04.21-14:19:48,openstack2,10.159.205.12,16,94,1,25,13,6
01.04.21-14:20:02,openstack2,10.159.205.12,9,94,1,25,13,6
01.04.21-14:20:15,openstack2,10.159.205.12,29,95,1,25,13,6
01.04.21-14:20:28,openstack2,10.159.205.12,55,95,1,25,13,6
01.04.21-14:20:41,openstack2,10.159.205.12,15,94,1,25,13,6
01.04.21-14:20:54,openstack2,10.159.205.12,18,94,1,25,13,6
01.04.21-14:21:06,openstack2,10.159.205.12,85,94,1,25,13,6
01.04.21-14:21:19,openstack2,10.159.205.12,50,94,1,25,13,6
01.04.21-14:21:31,openstack2,10.159.205.12,57,94,1,25,13,6
01.04.21-14:22:51,openstack2,10.159.205.12,0,MEMORY,NVM,0,MEMORYC,DISKC
01.04.21-14:23:04,openstack2,10.159.205.12,8,95,0,0,7,0
01.04.21-14:23:17,openstack2,10.159.205.12,10,95,0,0,7,0
01.04.21-14:23:29,openstack2,10.159.205.12,7,95,0,0,7,0
01.04.21-14:23:42,openstack2,10.159.205.12,16,94,0,0,7,0
01.04.21-14:23:55,openstack2,10.159.205.12,7,94,0,0,7,0
01.04.21-14:24:08,openstack2,10.159.205.12,8,95,0,0,7,0
01.04.21-14:24:21,openstack2,10.159.205.12,8,94,0,0,7,0
01.04.21-14:24:34,openstack2,10.159.205.12,21,94,0,0,7,0
01.04.21-14:24:46,openstack2,10.159.205.12,10,94,0,0,7,0
01.04.21-14:24:59,openstack2,10.159.205.12,5,94,0,0,7,0
01.04.21-14:25:12,openstack2,10.159.205.12,71,94,0,0,7,0
01.04.21-14:25:26,openstack2,10.159.205.12,82,94,0,0,7,0
01.04.21-14:25:38,openstack2,10.159.205.12,12,94,0,0,7,0
01.04.21-14:25:51,openstack2,10.159.205.12,60,94,0,0,7,0
01.04.21-14:26:04,openstack2,10.159.205.12,26,94,0,0,7,0
01.04.21-14:26:16,openstack2,10.159.205.12,13,95,0,0,7,0
01.04.21-14:26:29,openstack2,10.159.205.12,11,94,0,0,7,0
01.04.21-14:29:08,openstack2,10.159.205.12,0,MEMORY,NVM,0,MEMORYC,DISKC
01.04.21-14:29:21,openstack2,10.159.205.12,8,94,0,0,7,0
01.04.21-14:29:33,openstack2,10.159.205.12,25,94,0,0,7,0
01.04.21-14:29:46,openstack2,10.159.205.12,10,94,0,0,7,0
01.04.21-14:30:03,openstack2,10.159.205.12,100,95,1,25,13,6
01.04.21-14:30:20,openstack2,10.159.205.12,100,95,2,50,20,12
01.04.21-14:30:37,openstack2,10.159.205.12,64,94,2,50,20,12
01.04.21-14:30:50,openstack2,10.159.205.12,75,95,2,50,20,12
01.04.21-14:31:02,openstack2,10.159.205.12,11,94,2,50,20,12
01.04.21-14:31:15,openstack2,10.159.205.12,11,94,2,50,20,12
01.04.21-14:31:28,openstack2,10.159.205.12,62,94,2,50,20,12
01.04.21-14:31:40,openstack2,10.159.205.12,9,95,2,50,20,12
01.04.21-14:31:53,openstack2,10.159.205.12,85,94,2,50,20,12
01.04.21-14:32:09,openstack2,10.159.205.12,63,94,2,50,20,12
01.04.21-14:32:23,openstack2,10.159.205.12,10,95,2,50,20,12
01.04.21-14:32:36,openstack2,10.159.205.12,11,94,2,50,20,12
01.04.21-14:32:49,openstack2,10.159.205.12,29,95,2,50,20,12
