01.04.21-14:08:12,openstack2,10.159.205.12,0,MEMORY,NVM,0,MEMORYC,DISKC
01.04.21-14:08:26,openstack2,10.159.205.12,10,94,0,0,7,0
01.04.21-14:08:39,openstack2,10.159.205.12,58,95,0,0,7,0
01.04.21-14:08:52,openstack2,10.159.205.12,46,94,0,0,7,0
01.04.21-14:09:11,openstack2,10.159.205.12,73,94,1,25,13,6
01.04.21-14:09:24,openstack2,10.159.205.12,21,94,1,25,13,6
01.04.21-14:09:36,openstack2,10.159.205.12,24,94,1,25,13,6
01.04.21-14:09:49,openstack2,10.159.205.12,42,94,1,25,13,6
01.04.21-14:10:02,openstack2,10.159.205.12,60,95,1,25,13,6
01.04.21-14:10:14,openstack2,10.159.205.12,16,95,1,25,13,6
01.04.21-14:10:27,openstack2,10.159.205.12,78,95,1,25,13,6
01.04.21-14:10:40,openstack2,10.159.205.12,9,95,1,25,13,6
01.04.21-14:10:55,openstack2,10.159.205.12,80,94,1,25,13,6
01.04.21-14:11:08,openstack2,10.159.205.12,40,94,1,25,13,6
01.04.21-14:11:21,openstack2,10.159.205.12,24,94,1,25,13,6
01.04.21-14:11:33,openstack2,10.159.205.12,58,94,1,25,13,6
01.04.21-14:11:46,openstack2,10.159.205.12,20,94,1,25,13,6
01.04.21-14:13:06,openstack2,10.159.205.12,0,MEMORY,NVM,0,MEMORYC,DISKC
01.04.21-14:13:19,openstack2,10.159.205.12,6,94,0,0,7,0
01.04.21-14:13:32,openstack2,10.159.205.12,60,94,0,0,7,0
01.04.21-14:13:46,openstack2,10.159.205.12,62,94,0,0,7,0
01.04.21-14:13:58,openstack2,10.159.205.12,75,94,0,0,7,0
01.04.21-14:14:11,openstack2,10.159.205.12,56,94,0,0,7,0
01.04.21-14:14:24,openstack2,10.159.205.12,8,94,0,0,7,0
01.04.21-14:14:37,openstack2,10.159.205.12,93,94,0,0,7,0
01.04.21-14:14:50,openstack2,10.159.205.12,86,94,0,0,7,0
01.04.21-14:15:03,openstack2,10.159.205.12,23,94,0,0,7,0
01.04.21-14:15:16,openstack2,10.159.205.12,10,94,0,0,7,0
01.04.21-14:15:28,openstack2,10.159.205.12,10,94,0,0,7,0
01.04.21-14:15:41,openstack2,10.159.205.12,9,95,0,0,7,0
