01.04.21-14:08:11,openstack1,10.159.205.6,0,MEMORY,NVM,0,MEMORYC,DISKC
01.04.21-14:22:53,openstack1,10.159.205.6,11,94,0,0,7,0
01.04.21-14:23:00,openstack1,10.159.205.6,29,94,0,0,7,0
01.04.21-14:23:08,openstack1,10.159.205.6,22,95,0,0,7,0
01.04.21-14:23:15,openstack1,10.159.205.6,7,94,0,0,7,0
01.04.21-14:23:23,openstack1,10.159.205.6,7,94,0,0,7,0
01.04.21-14:23:30,openstack1,10.159.205.6,66,94,0,0,7,0
01.04.21-14:23:40,openstack1,10.159.205.6,99,94,0,0,7,6
01.04.21-14:23:52,openstack1,10.159.205.6,100,94,2,50,20,11
01.04.21-14:24:05,openstack1,10.159.205.6,79,94,2,50,20,11
01.04.21-14:24:14,openstack1,10.159.205.6,16,95,2,50,20,11
01.04.21-14:24:21,openstack1,10.159.205.6,9,94,2,50,20,11
01.04.21-14:24:29,openstack1,10.159.205.6,9,94,2,50,20,11
01.04.21-14:24:38,openstack1,10.159.205.6,25,94,2,50,20,11
01.04.21-14:24:46,openstack1,10.159.205.6,62,94,2,50,20,11
01.04.21-14:24:54,openstack1,10.159.205.6,24,94,2,50,20,11
01.04.21-14:25:02,openstack1,10.159.205.6,2,94,2,50,20,11
01.04.21-14:25:11,openstack1,10.159.205.6,9,94,2,50,20,11
01.04.21-14:25:19,openstack1,10.159.205.6,97,94,2,50,20,11
01.04.21-14:25:25,openstack1,10.159.205.6,5,94,2,50,20,11
01.04.21-14:25:34,openstack1,10.159.205.6,69,94,2,50,20,11
01.04.21-14:25:41,openstack1,10.159.205.6,48,94,2,50,20,11
01.04.21-14:25:51,openstack1,10.159.205.6,100,94,2,50,20,11
01.04.21-14:25:59,openstack1,10.159.205.6,10,94,2,50,20,11
01.04.21-14:26:07,openstack1,10.159.205.6,4,94,2,50,20,11
01.04.21-14:26:15,openstack1,10.159.205.6,6,94,2,50,20,11
01.04.21-14:26:25,openstack1,10.159.205.6,52,94,2,50,20,11
01.04.21-14:29:06,openstack1,10.159.205.6,0,MEMORY,NVM,0,MEMORYC,DISKC
01.04.21-14:29:10,openstack1,10.159.205.6,22,94,4,100,33,23
01.04.21-14:29:18,openstack1,10.159.205.6,4,94,4,100,33,23
01.04.21-14:29:32,openstack1,10.159.205.6,100,94,4,100,33,23
01.04.21-14:29:41,openstack1,10.159.205.6,8,94,4,100,33,23
01.04.21-14:29:48,openstack1,10.159.205.6,46,94,4,100,33,23
01.04.21-14:29:56,openstack1,10.159.205.6,46,94,4,100,33,23
01.04.21-14:30:07,openstack1,10.159.205.6,8,94,4,100,33,23
01.04.21-14:30:14,openstack1,10.159.205.6,3,94,4,100,33,23
01.04.21-14:30:22,openstack1,10.159.205.6,7,94,4,100,33,23
01.04.21-14:30:29,openstack1,10.159.205.6,99,94,4,100,33,23
01.04.21-14:30:37,openstack1,10.159.205.6,37,94,4,100,33,23
01.04.21-14:30:50,openstack1,10.159.205.6,20,94,4,100,33,23
01.04.21-14:30:57,openstack1,10.159.205.6,25,94,4,100,33,23
01.04.21-14:31:04,openstack1,10.159.205.6,6,94,4,100,33,23
01.04.21-14:31:12,openstack1,10.159.205.6,4,94,4,100,33,23
01.04.21-14:31:20,openstack1,10.159.205.6,8,94,4,100,33,23
01.04.21-14:31:32,openstack1,10.159.205.6,100,95,4,100,33,23
01.04.21-14:31:40,openstack1,10.159.205.6,70,94,4,100,33,23
01.04.21-14:31:47,openstack1,10.159.205.6,2,94,4,100,33,23
01.04.21-14:31:55,openstack1,10.159.205.6,92,94,4,100,33,23
01.04.21-14:32:03,openstack1,10.159.205.6,44,94,4,100,33,23
01.04.21-14:32:10,openstack1,10.159.205.6,74,94,4,100,33,23
01.04.21-14:32:17,openstack1,10.159.205.6,5,94,4,100,33,23
01.04.21-14:32:24,openstack1,10.159.205.6,4,94,4,100,33,23
01.04.21-14:32:32,openstack1,10.159.205.6,78,94,4,100,33,23
01.04.21-14:32:47,openstack1,10.159.205.6,7,94,4,100,33,23
