31.03.21-12:46:11,openstack2,10.159.205.12,0,MEMORY,NVM,0,MEMORYC,DISKC
31.03.21-12:46:18,openstack2,10.159.205.12,83,91,0,0,7,0
31.03.21-12:46:26,openstack2,10.159.205.12,33,91,0,0,7,0
31.03.21-12:46:34,openstack2,10.159.205.12,13,91,0,0,7,0
31.03.21-12:46:41,openstack2,10.159.205.12,44,91,0,0,7,0
31.03.21-12:46:49,openstack2,10.159.205.12,76,91,0,0,7,0
31.03.21-12:46:59,openstack2,10.159.205.12,76,91,0,0,7,0
31.03.21-12:47:16,openstack2,10.159.205.12,100,91,1,25,13,6
31.03.21-12:47:24,openstack2,10.159.205.12,19,91,1,25,13,6
31.03.21-12:47:32,openstack2,10.159.205.12,87,91,1,25,13,6
31.03.21-12:47:39,openstack2,10.159.205.12,9,91,1,25,13,6
31.03.21-12:47:48,openstack2,10.159.205.12,9,91,1,25,13,6
31.03.21-12:47:55,openstack2,10.159.205.12,11,91,1,25,13,6
31.03.21-12:48:02,openstack2,10.159.205.12,97,91,1,25,13,6
31.03.21-12:48:10,openstack2,10.159.205.12,92,91,1,25,13,6
31.03.21-12:48:18,openstack2,10.159.205.12,10,91,1,25,13,6
31.03.21-12:48:25,openstack2,10.159.205.12,96,91,1,25,13,6
31.03.21-12:48:33,openstack2,10.159.205.12,45,91,1,25,13,6
31.03.21-12:48:41,openstack2,10.159.205.12,24,91,1,25,13,6
31.03.21-12:48:49,openstack2,10.159.205.12,11,91,1,25,13,6
31.03.21-12:48:58,openstack2,10.159.205.12,8,91,1,25,13,6
31.03.21-12:49:05,openstack2,10.159.205.12,12,91,1,25,13,6
31.03.21-12:49:12,openstack2,10.159.205.12,26,91,1,25,13,6
31.03.21-12:49:20,openstack2,10.159.205.12,62,91,1,25,13,6
31.03.21-12:49:27,openstack2,10.159.205.12,14,91,1,25,13,6
31.03.21-12:49:35,openstack2,10.159.205.12,96,91,1,25,13,6
31.03.21-12:49:43,openstack2,10.159.205.12,24,91,1,25,13,6
31.03.21-12:50:35,openstack2,10.159.205.12,0,MEMORY,NVM,0,MEMORYC,DISKC
31.03.21-12:50:43,openstack2,10.159.205.12,63,91,0,0,7,0
31.03.21-12:50:50,openstack2,10.159.205.12,24,91,0,0,7,0
31.03.21-12:50:58,openstack2,10.159.205.12,5,91,0,0,7,0
31.03.21-12:51:05,openstack2,10.159.205.12,11,91,0,0,7,0
31.03.21-12:51:13,openstack2,10.159.205.12,99,91,0,0,7,0
31.03.21-12:51:21,openstack2,10.159.205.12,7,91,0,0,7,0
31.03.21-12:51:28,openstack2,10.159.205.12,7,91,0,0,7,0
31.03.21-12:51:36,openstack2,10.159.205.12,11,91,0,0,7,0
31.03.21-12:51:43,openstack2,10.159.205.12,21,91,0,0,7,0
31.03.21-12:51:51,openstack2,10.159.205.12,10,91,0,0,7,0
31.03.21-12:51:58,openstack2,10.159.205.12,24,91,0,0,7,0
31.03.21-12:52:05,openstack2,10.159.205.12,7,91,0,0,7,0
31.03.21-12:52:14,openstack2,10.159.205.12,22,91,0,0,7,0
31.03.21-12:52:22,openstack2,10.159.205.12,7,91,0,0,7,0
31.03.21-12:52:30,openstack2,10.159.205.12,9,91,0,0,7,0
31.03.21-12:52:37,openstack2,10.159.205.12,10,91,0,0,7,0
31.03.21-12:52:44,openstack2,10.159.205.12,32,91,0,0,7,0
