31.03.21-12:46:11,openstack2,10.159.205.12,0,MEMORY,NVM,0,MEMORYC,DISKC
31.03.21-12:52:52,openstack2,10.159.205.12,5,91,0,0,7,0
31.03.21-12:52:59,openstack2,10.159.205.12,10,91,0,0,7,0
31.03.21-12:53:06,openstack2,10.159.205.12,7,91,0,0,7,0
31.03.21-12:53:13,openstack2,10.159.205.12,48,91,0,0,7,0
31.03.21-12:53:21,openstack2,10.159.205.12,53,91,0,0,7,0
31.03.21-12:53:28,openstack2,10.159.205.12,10,91,0,0,7,0
31.03.21-12:53:35,openstack2,10.159.205.12,22,91,0,0,7,0
31.03.21-12:53:43,openstack2,10.159.205.12,27,91,0,0,7,0
31.03.21-12:53:50,openstack2,10.159.205.12,61,91,0,0,7,0
31.03.21-12:53:57,openstack2,10.159.205.12,28,91,0,0,7,0
31.03.21-12:54:05,openstack2,10.159.205.12,18,91,0,0,7,0
31.03.21-12:54:57,openstack2,10.159.205.12,0,MEMORY,NVM,0,MEMORYC,DISKC
31.03.21-12:55:04,openstack2,10.159.205.12,8,91,0,0,7,0
31.03.21-12:55:13,openstack2,10.159.205.12,11,91,0,0,7,0
31.03.21-12:55:20,openstack2,10.159.205.12,14,91,0,0,7,0
31.03.21-12:55:28,openstack2,10.159.205.12,20,91,0,0,7,0
31.03.21-12:55:35,openstack2,10.159.205.12,5,91,0,0,7,0
31.03.21-12:55:48,openstack2,10.159.205.12,54,91,0,0,7,0
31.03.21-12:55:59,openstack2,10.159.205.12,92,91,1,25,13,6
31.03.21-12:56:08,openstack2,10.159.205.12,74,91,1,25,13,6
31.03.21-12:56:16,openstack2,10.159.205.12,10,91,1,25,13,6
31.03.21-12:56:23,openstack2,10.159.205.12,59,91,1,25,13,6
31.03.21-12:56:31,openstack2,10.159.205.12,16,91,1,25,13,6
31.03.21-12:56:39,openstack2,10.159.205.12,6,91,1,25,13,6
31.03.21-12:56:47,openstack2,10.159.205.12,12,91,1,25,13,6
31.03.21-12:56:55,openstack2,10.159.205.12,73,91,1,25,13,6
31.03.21-12:57:03,openstack2,10.159.205.12,100,91,1,25,13,6
31.03.21-12:57:11,openstack2,10.159.205.12,63,91,1,25,13,6
31.03.21-12:57:22,openstack2,10.159.205.12,5,92,1,25,13,6
31.03.21-12:57:30,openstack2,10.159.205.12,19,91,1,25,13,6
31.03.21-12:57:38,openstack2,10.159.205.12,98,91,1,25,13,6
31.03.21-12:57:46,openstack2,10.159.205.12,26,91,1,25,13,6
31.03.21-12:57:54,openstack2,10.159.205.12,53,91,1,25,13,6
31.03.21-12:58:01,openstack2,10.159.205.12,42,91,1,25,13,6
31.03.21-12:58:09,openstack2,10.159.205.12,8,91,1,25,13,6
31.03.21-12:58:16,openstack2,10.159.205.12,36,91,1,25,13,6
31.03.21-12:58:25,openstack2,10.159.205.12,69,91,1,25,13,6
31.03.21-12:58:32,openstack2,10.159.205.12,11,91,1,25,13,6
31.03.21-12:59:23,openstack2,10.159.205.12,0,MEMORY,NVM,0,MEMORYC,DISKC
31.03.21-12:59:30,openstack2,10.159.205.12,12,91,0,0,7,0
31.03.21-12:59:37,openstack2,10.159.205.12,8,91,0,0,7,0
31.03.21-12:59:45,openstack2,10.159.205.12,19,91,0,0,7,0
31.03.21-12:59:53,openstack2,10.159.205.12,94,91,0,0,7,0
31.03.21-13:00:00,openstack2,10.159.205.12,24,91,0,0,7,0
31.03.21-13:00:08,openstack2,10.159.205.12,8,91,0,0,7,0
31.03.21-13:00:15,openstack2,10.159.205.12,63,91,0,0,7,0
31.03.21-13:00:26,openstack2,10.159.205.12,7,91,0,0,7,0
31.03.21-13:00:33,openstack2,10.159.205.12,12,91,0,0,7,0
31.03.21-13:00:40,openstack2,10.159.205.12,10,91,0,0,7,0
31.03.21-13:00:47,openstack2,10.159.205.12,7,91,0,0,7,0
31.03.21-13:00:55,openstack2,10.159.205.12,15,91,0,0,7,0
31.03.21-13:01:05,openstack2,10.159.205.12,9,91,0,0,7,0
31.03.21-13:01:12,openstack2,10.159.205.12,8,91,0,0,7,0
31.03.21-13:01:19,openstack2,10.159.205.12,8,91,0,0,7,0
31.03.21-13:01:27,openstack2,10.159.205.12,80,91,0,0,7,0
31.03.21-13:01:34,openstack2,10.159.205.12,9,91,0,0,7,0
31.03.21-13:01:41,openstack2,10.159.205.12,89,91,0,0,7,0
31.03.21-13:01:49,openstack2,10.159.205.12,6,91,0,0,7,0
31.03.21-13:01:57,openstack2,10.159.205.12,6,91,0,0,7,0
31.03.21-13:02:04,openstack2,10.159.205.12,5,91,0,0,7,0
31.03.21-13:02:11,openstack2,10.159.205.12,10,91,0,0,7,0
31.03.21-13:02:18,openstack2,10.159.205.12,6,91,0,0,7,0
31.03.21-13:02:26,openstack2,10.159.205.12,40,91,0,0,7,0
31.03.21-13:02:33,openstack2,10.159.205.12,76,91,0,0,7,0
31.03.21-13:02:40,openstack2,10.159.205.12,27,91,0,0,7,0
31.03.21-13:02:47,openstack2,10.159.205.12,39,91,0,0,7,0
31.03.21-13:02:55,openstack2,10.159.205.12,9,91,0,0,7,0
31.03.21-13:03:44,openstack2,10.159.205.12,0,MEMORY,NVM,0,MEMORYC,DISKC
31.03.21-13:03:52,openstack2,10.159.205.12,11,91,0,0,7,0
31.03.21-13:04:00,openstack2,10.159.205.12,12,91,0,0,7,0
31.03.21-13:04:07,openstack2,10.159.205.12,7,91,0,0,7,0
31.03.21-13:04:15,openstack2,10.159.205.12,10,91,0,0,7,0
31.03.21-13:04:22,openstack2,10.159.205.12,7,91,0,0,7,0
31.03.21-13:04:29,openstack2,10.159.205.12,12,91,0,0,7,0
31.03.21-13:04:37,openstack2,10.159.205.12,48,91,0,0,7,0
31.03.21-13:04:44,openstack2,10.159.205.12,7,91,0,0,7,0
31.03.21-13:04:51,openstack2,10.159.205.12,14,91,0,0,7,0
31.03.21-13:04:59,openstack2,10.159.205.12,90,91,0,0,7,0
31.03.21-13:05:07,openstack2,10.159.205.12,6,91,0,0,7,0
31.03.21-13:05:14,openstack2,10.159.205.12,10,91,0,0,7,0
31.03.21-13:05:21,openstack2,10.159.205.12,7,91,0,0,7,0
31.03.21-13:05:29,openstack2,10.159.205.12,14,91,0,0,7,0
31.03.21-13:05:37,openstack2,10.159.205.12,9,91,0,0,7,0
31.03.21-13:05:44,openstack2,10.159.205.12,80,91,0,0,7,0
31.03.21-13:05:51,openstack2,10.159.205.12,8,91,0,0,7,0
31.03.21-13:05:58,openstack2,10.159.205.12,36,91,0,0,7,0
31.03.21-13:06:06,openstack2,10.159.205.12,5,91,0,0,7,0
31.03.21-13:06:13,openstack2,10.159.205.12,10,91,0,0,7,0
31.03.21-13:06:21,openstack2,10.159.205.12,33,91,0,0,7,0
31.03.21-13:06:28,openstack2,10.159.205.12,29,91,0,0,7,0
31.03.21-13:06:36,openstack2,10.159.205.12,89,91,0,0,7,0
31.03.21-13:06:43,openstack2,10.159.205.12,6,91,0,0,7,0
31.03.21-13:06:51,openstack2,10.159.205.12,39,91,0,0,7,0
31.03.21-13:06:58,openstack2,10.159.205.12,32,91,0,0,7,0
31.03.21-13:07:05,openstack2,10.159.205.12,6,91,0,0,7,0
31.03.21-13:07:12,openstack2,10.159.205.12,7,91,0,0,7,0
31.03.21-13:07:20,openstack2,10.159.205.12,8,91,0,0,7,0
31.03.21-13:07:27,openstack2,10.159.205.12,10,91,0,0,7,0
31.03.21-13:07:35,openstack2,10.159.205.12,29,91,0,0,7,0
31.03.21-13:08:21,openstack2,10.159.205.12,0,MEMORY,NVM,0,MEMORYC,DISKC
31.03.21-13:08:25,openstack2,10.159.205.12,10,91,0,0,7,0
31.03.21-13:08:32,openstack2,10.159.205.12,11,91,0,0,7,0
31.03.21-13:08:39,openstack2,10.159.205.12,9,91,0,0,7,0
31.03.21-13:08:47,openstack2,10.159.205.12,8,91,0,0,7,0
31.03.21-13:08:54,openstack2,10.159.205.12,9,91,0,0,7,0
31.03.21-13:09:02,openstack2,10.159.205.12,53,91,0,0,7,0
31.03.21-13:09:14,openstack2,10.159.205.12,86,91,0,0,13,6
31.03.21-13:09:25,openstack2,10.159.205.12,100,91,2,50,20,12
31.03.21-13:09:39,openstack2,10.159.205.12,100,91,2,50,20,12
31.03.21-13:09:52,openstack2,10.159.205.12,100,91,2,50,20,12
31.03.21-13:10:00,openstack2,10.159.205.12,27,91,2,50,20,12
31.03.21-13:10:08,openstack2,10.159.205.12,51,91,2,50,20,12
31.03.21-13:10:16,openstack2,10.159.205.12,8,91,2,50,20,12
31.03.21-13:10:24,openstack2,10.159.205.12,50,91,2,50,20,12
31.03.21-13:10:33,openstack2,10.159.205.12,13,91,2,50,20,12
31.03.21-13:10:41,openstack2,10.159.205.12,13,92,2,50,20,12
31.03.21-13:10:50,openstack2,10.159.205.12,91,91,2,50,20,12
31.03.21-13:10:58,openstack2,10.159.205.12,90,91,2,50,20,12
31.03.21-13:11:05,openstack2,10.159.205.12,11,91,2,50,20,12
31.03.21-13:11:13,openstack2,10.159.205.12,9,91,2,50,20,12
31.03.21-13:11:20,openstack2,10.159.205.12,73,91,2,50,20,12
31.03.21-13:11:28,openstack2,10.159.205.12,16,91,2,50,20,12
31.03.21-13:11:35,openstack2,10.159.205.12,9,91,2,50,20,12
31.03.21-13:11:43,openstack2,10.159.205.12,9,91,2,50,20,12
31.03.21-13:11:51,openstack2,10.159.205.12,99,91,2,50,20,12
31.03.21-13:12:00,openstack2,10.159.205.12,65,91,2,50,20,12
