31.03.21-12:46:09,openstack1,10.159.205.6,0,MEMORY,NVM,0,MEMORYC,DISKC
31.03.21-12:58:35,openstack1,10.159.205.6,5,92,1,25,13,6
31.03.21-12:59:20,openstack1,10.159.205.6,0,MEMORY,NVM,0,MEMORYC,DISKC
31.03.21-12:59:24,openstack1,10.159.205.6,7,92,0,0,7,0
31.03.21-12:59:31,openstack1,10.159.205.6,19,92,0,0,7,0
31.03.21-12:59:38,openstack1,10.159.205.6,26,92,0,0,7,0
31.03.21-12:59:45,openstack1,10.159.205.6,10,92,0,0,7,0
31.03.21-12:59:53,openstack1,10.159.205.6,7,92,0,0,7,0
31.03.21-13:00:01,openstack1,10.159.205.6,35,92,0,0,7,0
31.03.21-13:00:12,openstack1,10.159.205.6,100,92,1,25,13,6
31.03.21-13:00:30,openstack1,10.159.205.6,99,92,2,50,20,11
31.03.21-13:00:41,openstack1,10.159.205.6,66,92,2,50,20,11
31.03.21-13:00:49,openstack1,10.159.205.6,7,92,2,50,20,11
31.03.21-13:00:57,openstack1,10.159.205.6,33,92,2,50,20,11
31.03.21-13:01:07,openstack1,10.159.205.6,100,92,2,50,20,11
31.03.21-13:01:14,openstack1,10.159.205.6,53,92,2,50,20,11
31.03.21-13:01:22,openstack1,10.159.205.6,6,92,2,50,20,11
31.03.21-13:01:30,openstack1,10.159.205.6,13,92,2,50,20,11
31.03.21-13:01:37,openstack1,10.159.205.6,9,92,2,50,20,11
31.03.21-13:01:46,openstack1,10.159.205.6,61,92,2,50,20,11
31.03.21-13:01:53,openstack1,10.159.205.6,5,92,2,50,20,11
31.03.21-13:02:00,openstack1,10.159.205.6,48,92,2,50,20,11
31.03.21-13:02:08,openstack1,10.159.205.6,7,92,2,50,20,11
31.03.21-13:02:17,openstack1,10.159.205.6,99,92,2,50,20,11
31.03.21-13:02:25,openstack1,10.159.205.6,28,92,2,50,20,11
31.03.21-13:02:33,openstack1,10.159.205.6,85,92,2,50,20,11
31.03.21-13:02:40,openstack1,10.159.205.6,8,92,2,50,20,11
31.03.21-13:02:50,openstack1,10.159.205.6,6,92,2,50,20,11
31.03.21-13:02:58,openstack1,10.159.205.6,24,92,2,50,20,11
31.03.21-13:03:43,openstack1,10.159.205.6,0,MEMORY,NVM,0,MEMORYC,DISKC
31.03.21-13:03:46,openstack1,10.159.205.6,66,92,0,0,7,0
31.03.21-13:03:53,openstack1,10.159.205.6,7,92,0,0,7,0
31.03.21-13:04:02,openstack1,10.159.205.6,99,92,0,0,7,0
31.03.21-13:04:09,openstack1,10.159.205.6,50,92,0,0,7,0
31.03.21-13:04:17,openstack1,10.159.205.6,91,92,0,0,7,0
31.03.21-13:04:25,openstack1,10.159.205.6,6,92,0,0,7,0
31.03.21-13:04:54,openstack1,10.159.205.6,100,92,1,50,20,11
31.03.21-13:05:04,openstack1,10.159.205.6,100,92,2,75,27,17
31.03.21-13:05:16,openstack1,10.159.205.6,100,92,3,100,33,23
31.03.21-13:05:49,openstack1,10.159.205.6,100,92,5,125,47,34
31.03.21-13:06:00,openstack1,10.159.205.6,99,92,6,150,47,34
31.03.21-13:06:11,openstack1,10.159.205.6,97,92,7,175,53,40
31.03.21-13:06:39,openstack1,10.159.205.6,99,93,8,200,60,46
31.03.21-13:06:47,openstack1,10.159.205.6,74,92,8,200,60,46
31.03.21-13:06:55,openstack1,10.159.205.6,32,92,8,200,60,46
31.03.21-13:07:02,openstack1,10.159.205.6,20,92,8,200,60,46
31.03.21-13:07:10,openstack1,10.159.205.6,54,92,8,200,60,46
31.03.21-13:07:21,openstack1,10.159.205.6,100,93,8,200,60,46
31.03.21-13:07:28,openstack1,10.159.205.6,43,92,8,200,60,46
31.03.21-13:08:23,openstack1,10.159.205.6,0,MEMORY,NVM,0,MEMORYC,DISKC
31.03.21-13:08:35,openstack1,10.159.205.6,100,93,0,0,7,0
31.03.21-13:08:55,openstack1,10.159.205.6,100,93,0,0,7,0
31.03.21-13:09:15,openstack1,10.159.205.6,100,93,0,0,7,0
31.03.21-13:09:23,openstack1,10.159.205.6,68,92,0,0,7,0
31.03.21-13:09:32,openstack1,10.159.205.6,95,92,0,0,7,0
31.03.21-13:09:40,openstack1,10.159.205.6,57,92,0,0,7,0
31.03.21-13:10:01,openstack1,10.159.205.6,100,92,0,0,7,0
31.03.21-13:10:09,openstack1,10.159.205.6,56,92,0,0,7,0
31.03.21-13:10:19,openstack1,10.159.205.6,100,92,0,0,7,0
31.03.21-13:10:27,openstack1,10.159.205.6,58,92,0,0,7,0
31.03.21-13:10:50,openstack1,10.159.205.6,100,93,0,0,7,0
31.03.21-13:10:59,openstack1,10.159.205.6,100,92,0,0,7,0
31.03.21-13:11:08,openstack1,10.159.205.6,74,92,0,0,7,0
31.03.21-13:11:18,openstack1,10.159.205.6,58,93,0,0,7,0
31.03.21-13:11:34,openstack1,10.159.205.6,100,92,0,0,7,0
31.03.21-13:11:43,openstack1,10.159.205.6,96,92,0,0,7,0
31.03.21-13:11:52,openstack1,10.159.205.6,74,93,0,0,7,0
31.03.21-13:12:01,openstack1,10.159.205.6,100,92,0,0,7,0
