,id,creator,name,unit,resource_id,archive_policy,created_by_user_id,created_by_project_id
1631,832e5303-a7f5-47f4-b154-a4a766aa9003,c6059303bebf44dcb0cb066792c9adc3:1b05d639686b4cc695b356ea19489829,network.incoming.bytes,B,dd6b5d59-5405-5362-99aa-ebca0e6a5a8e,"{'name': 'high', 'back_window': 0, 'definition': [{'timespan': '1:00:00', 'granularity': '0:00:01', 'points': 3600}, {'timespan': '7 days, 0:00:00', 'granularity': '0:01:00', 'points': 10080}, {'timespan': '365 days, 0:00:00', 'granularity': '1:00:00', 'points': 8760}], 'aggregation_methods': ['max', 'mean', 'count', 'std', 'sum', 'min']}",c6059303bebf44dcb0cb066792c9adc3,1b05d639686b4cc695b356ea19489829
1632,836517fe-3c91-434c-8d6a-a2a44124e3db,c6059303bebf44dcb0cb066792c9adc3:1b05d639686b4cc695b356ea19489829,disk.ephemeral.size,GB,8b0f9830-f49f-4d89-be5a-b839ff390fd9,"{'name': 'high', 'back_window': 0, 'definition': [{'timespan': '1:00:00', 'granularity': '0:00:01', 'points': 3600}, {'timespan': '7 days, 0:00:00', 'granularity': '0:01:00', 'points': 10080}, {'timespan': '365 days, 0:00:00', 'granularity': '1:00:00', 'points': 8760}], 'aggregation_methods': ['max', 'mean', 'count', 'std', 'sum', 'min']}",c6059303bebf44dcb0cb066792c9adc3,1b05d639686b4cc695b356ea19489829
1633,83814b36-0bc8-4702-bf71-2e64f4051baa,c6059303bebf44dcb0cb066792c9adc3:1b05d639686b4cc695b356ea19489829,network.outgoing.packets,packet,cfcd6092-a6cf-5cf0-9688-2cb5403ec6e0,"{'name': 'high', 'back_window': 0, 'definition': [{'timespan': '1:00:00', 'granularity': '0:00:01', 'points': 3600}, {'timespan': '7 days, 0:00:00', 'granularity': '0:01:00', 'points': 10080}, {'timespan': '365 days, 0:00:00', 'granularity': '1:00:00', 'points': 8760}], 'aggregation_methods': ['max', 'mean', 'count', 'std', 'sum', 'min']}",c6059303bebf44dcb0cb066792c9adc3,1b05d639686b4cc695b356ea19489829
1634,83887c8f-5fc0-4b9c-b992-27d0a35fbc7a,c6059303bebf44dcb0cb066792c9adc3:1b05d639686b4cc695b356ea19489829,compute.instance.booting.time,sec,ba8250ce-a0db-4f8b-9631-f00b67e25284,"{'name': 'high', 'back_window': 0, 'definition': [{'timespan': '1:00:00', 'granularity': '0:00:01', 'points': 3600}, {'timespan': '7 days, 0:00:00', 'granularity': '0:01:00', 'points': 10080}, {'timespan': '365 days, 0:00:00', 'granularity': '1:00:00', 'points': 8760}], 'aggregation_methods': ['max', 'mean', 'count', 'std', 'sum', 'min']}",c6059303bebf44dcb0cb066792c9adc3,1b05d639686b4cc695b356ea19489829
1635,8388ccd3-e331-4f6c-99b5-58c86fe79d80,c6059303bebf44dcb0cb066792c9adc3:1b05d639686b4cc695b356ea19489829,disk.device.read.requests,request,5ee984a3-474c-5490-9f77-d43f1dae6878,"{'name': 'high', 'back_window': 0, 'definition': [{'timespan': '1:00:00', 'granularity': '0:00:01', 'points': 3600}, {'timespan': '7 days, 0:00:00', 'granularity': '0:01:00', 'points': 10080}, {'timespan': '365 days, 0:00:00', 'granularity': '1:00:00', 'points': 8760}], 'aggregation_methods': ['max', 'mean', 'count', 'std', 'sum', 'min']}",c6059303bebf44dcb0cb066792c9adc3,1b05d639686b4cc695b356ea19489829
1636,83a79fde-28e2-4cc7-8428-09df2345d6f9,c6059303bebf44dcb0cb066792c9adc3:1b05d639686b4cc695b356ea19489829,network.incoming.bytes,B,b129b329-5daf-5831-9d63-404cb8ea2f5e,"{'name': 'high', 'back_window': 0, 'definition': [{'timespan': '1:00:00', 'granularity': '0:00:01', 'points': 3600}, {'timespan': '7 days, 0:00:00', 'granularity': '0:01:00', 'points': 10080}, {'timespan': '365 days, 0:00:00', 'granularity': '1:00:00', 'points': 8760}], 'aggregation_methods': ['max', 'mean', 'count', 'std', 'sum', 'min']}",c6059303bebf44dcb0cb066792c9adc3,1b05d639686b4cc695b356ea19489829
1637,83b65e1f-d484-46b1-9f12-62b2c7e01894,c6059303bebf44dcb0cb066792c9adc3:1b05d639686b4cc695b356ea19489829,disk.root.size,GB,a231def8-e65c-411b-aea1-87397f5fa2dc,"{'name': 'high', 'back_window': 0, 'definition': [{'timespan': '1:00:00', 'granularity': '0:00:01', 'points': 3600}, {'timespan': '7 days, 0:00:00', 'granularity': '0:01:00', 'points': 10080}, {'timespan': '365 days, 0:00:00', 'granularity': '1:00:00', 'points': 8760}], 'aggregation_methods': ['max', 'mean', 'count', 'std', 'sum', 'min']}",c6059303bebf44dcb0cb066792c9adc3,1b05d639686b4cc695b356ea19489829
1638,83d528c0-656c-43a1-a347-ffdd9d6603d7,c6059303bebf44dcb0cb066792c9adc3:1b05d639686b4cc695b356ea19489829,network.outgoing.bytes,B,aa5e3669-f721-513b-af90-42ad50acbc44,"{'name': 'high', 'back_window': 0, 'definition': [{'timespan': '1:00:00', 'granularity': '0:00:01', 'points': 3600}, {'timespan': '7 days, 0:00:00', 'granularity': '0:01:00', 'points': 10080}, {'timespan': '365 days, 0:00:00', 'granularity': '1:00:00', 'points': 8760}], 'aggregation_methods': ['max', 'mean', 'count', 'std', 'sum', 'min']}",c6059303bebf44dcb0cb066792c9adc3,1b05d639686b4cc695b356ea19489829
1639,83dae8f5-3b95-4d17-9682-e8fc6a622d72,c6059303bebf44dcb0cb066792c9adc3:1b05d639686b4cc695b356ea19489829,disk.ephemeral.size,GB,9bd87fa7-9adf-4958-9d6e-0d29882b533e,"{'name': 'high', 'back_window': 0, 'definition': [{'timespan': '1:00:00', 'granularity': '0:00:01', 'points': 3600}, {'timespan': '7 days, 0:00:00', 'granularity': '0:01:00', 'points': 10080}, {'timespan': '365 days, 0:00:00', 'granularity': '1:00:00', 'points': 8760}], 'aggregation_methods': ['max', 'mean', 'count', 'std', 'sum', 'min']}",c6059303bebf44dcb0cb066792c9adc3,1b05d639686b4cc695b356ea19489829
1640,83dcfb02-7acf-4e3f-b38c-37ba4c14254e,c6059303bebf44dcb0cb066792c9adc3:1b05d639686b4cc695b356ea19489829,disk.ephemeral.size,GB,25ef380b-a04c-44ed-8d9e-97d98f031e42,"{'name': 'high', 'back_window': 0, 'definition': [{'timespan': '1:00:00', 'granularity': '0:00:01', 'points': 3600}, {'timespan': '7 days, 0:00:00', 'granularity': '0:01:00', 'points': 10080}, {'timespan': '365 days, 0:00:00', 'granularity': '1:00:00', 'points': 8760}], 'aggregation_methods': ['max', 'mean', 'count', 'std', 'sum', 'min']}",c6059303bebf44dcb0cb066792c9adc3,1b05d639686b4cc695b356ea19489829
1641,83edf99d-e123-4ad0-b867-b59a93473168,c6059303bebf44dcb0cb066792c9adc3:1b05d639686b4cc695b356ea19489829,cpu,ns,0f63a730-7724-4bf9-b45c-557df30f9dff,"{'name': 'high', 'back_window': 0, 'definition': [{'timespan': '1:00:00', 'granularity': '0:00:01', 'points': 3600}, {'timespan': '7 days, 0:00:00', 'granularity': '0:01:00', 'points': 10080}, {'timespan': '365 days, 0:00:00', 'granularity': '1:00:00', 'points': 8760}], 'aggregation_methods': ['max', 'mean', 'count', 'std', 'sum', 'min']}",c6059303bebf44dcb0cb066792c9adc3,1b05d639686b4cc695b356ea19489829
1642,83fcb809-abfb-46b0-b211-7cc3fdce2e15,c6059303bebf44dcb0cb066792c9adc3:1b05d639686b4cc695b356ea19489829,network.incoming.packets,packet,aeb85053-f846-5780-a663-17e058ee2348,"{'name': 'high', 'back_window': 0, 'definition': [{'timespan': '1:00:00', 'granularity': '0:00:01', 'points': 3600}, {'timespan': '7 days, 0:00:00', 'granularity': '0:01:00', 'points': 10080}, {'timespan': '365 days, 0:00:00', 'granularity': '1:00:00', 'points': 8760}], 'aggregation_methods': ['max', 'mean', 'count', 'std', 'sum', 'min']}",c6059303bebf44dcb0cb066792c9adc3,1b05d639686b4cc695b356ea19489829
1643,84214456-a7f2-433e-8c03-b298963bd296,c6059303bebf44dcb0cb066792c9adc3:1b05d639686b4cc695b356ea19489829,network.incoming.packets,packet,15a72165-a513-592d-bbc3-96099c77411c,"{'name': 'high', 'back_window': 0, 'definition': [{'timespan': '1:00:00', 'granularity': '0:00:01', 'points': 3600}, {'timespan': '7 days, 0:00:00', 'granularity': '0:01:00', 'points': 10080}, {'timespan': '365 days, 0:00:00', 'granularity': '1:00:00', 'points': 8760}], 'aggregation_methods': ['max', 'mean', 'count', 'std', 'sum', 'min']}",c6059303bebf44dcb0cb066792c9adc3,1b05d639686b4cc695b356ea19489829
1644,843abc2c-efc6-473d-a935-47724807a056,c6059303bebf44dcb0cb066792c9adc3:1b05d639686b4cc695b356ea19489829,network.outgoing.bytes,B,6275689a-e407-5fd8-9704-d61a293fbfdd,"{'name': 'high', 'back_window': 0, 'definition': [{'timespan': '1:00:00', 'granularity': '0:00:01', 'points': 3600}, {'timespan': '7 days, 0:00:00', 'granularity': '0:01:00', 'points': 10080}, {'timespan': '365 days, 0:00:00', 'granularity': '1:00:00', 'points': 8760}], 'aggregation_methods': ['max', 'mean', 'count', 'std', 'sum', 'min']}",c6059303bebf44dcb0cb066792c9adc3,1b05d639686b4cc695b356ea19489829
1645,84448924-49a9-470a-b2c9-d9fdff0729b6,c6059303bebf44dcb0cb066792c9adc3:1b05d639686b4cc695b356ea19489829,cpu,ns,026de216-1356-428c-8909-5efea25d0f96,"{'name': 'high', 'back_window': 0, 'definition': [{'timespan': '1:00:00', 'granularity': '0:00:01', 'points': 3600}, {'timespan': '7 days, 0:00:00', 'granularity': '0:01:00', 'points': 10080}, {'timespan': '365 days, 0:00:00', 'granularity': '1:00:00', 'points': 8760}], 'aggregation_methods': ['max', 'mean', 'count', 'std', 'sum', 'min']}",c6059303bebf44dcb0cb066792c9adc3,1b05d639686b4cc695b356ea19489829
